endTime,artistName,trackName,msPlayed
2021-12-16 01:42,Destripando la Historia,Odín,382
2021-12-16 01:42,Vete a la Versh,Tiempo,23
2021-12-16 01:42,Mägo de Oz,El Cervezo - El árbol de la birra,0
2021-12-16 01:42,Eminem,Without Me,0
2021-12-16 01:42,Metalocalypse: Dethklok,Murmaider,412
2021-12-16 01:42,Vete a la Versh,Perra,0
2021-12-16 01:46,Turisas,Rasputin,233543
2021-12-16 01:47,Eminem,Without Me,82595
2021-12-16 01:51,Eminem,Without Me,206831
2021-12-16 01:54,Metalocalypse: Dethklok,Murmaider,204360
2021-12-16 01:59,Turisas,Rasputin,7257
2021-12-16 01:59,Vete a la Versh,Tiempo,128
2021-12-16 01:59,Mägo de Oz,El Cervezo - El árbol de la birra,280160
2021-12-16 01:59,Mägo de Oz,El Cervezo - El árbol de la birra,23
2021-12-16 01:59,Eminem,Without Me,22196
2021-12-16 01:59,Metalocalypse: Dethklok,Murmaider,278
2021-12-16 01:59,Vete a la Versh,Perra,1645
2021-12-16 01:59,Vete a la Versh,Perra,9738
2021-12-16 02:03,Vete a la Versh,Horrible,221423
2021-12-16 02:05,Vete a la Versh,Perra,149693
2021-12-16 02:12,Vete a la Versh,Tiempo,401634
2021-12-16 02:16,Metalocalypse: Dethklok,Murmaider,204360
2021-12-16 02:20,Mägo de Oz,El Cervezo - El árbol de la birra,280160
2021-12-16 02:23,Destripando la Historia,Odín,182800
2021-12-16 02:29,Rod Stewart,Da Ya Think I'm Sexy?,331333
2021-12-16 02:33,Dschinghis Khan,Moskau,271960
2021-12-16 02:45,Megumi Hayashibara,TSUBASA WO KUDASAI,27329
2021-12-17 22:52,Dschinghis Khan,Moskau,220
2021-12-17 22:52,Rod Stewart,Da Ya Think I'm Sexy?,23
2021-12-17 22:52,Vete a la Versh,Horrible,0
2021-12-17 22:52,Destripando la Historia,Odín,0
2021-12-17 22:52,Vete a la Versh,Tiempo,0
2021-12-17 22:52,Mägo de Oz,El Cervezo - El árbol de la birra,23
2021-12-17 22:52,Eminem,Without Me,23
2021-12-17 22:52,Metalocalypse: Dethklok,Murmaider,0
2021-12-17 22:52,Vete a la Versh,Perra,23
2021-12-17 22:56,Turisas,Rasputin,234082
2021-12-17 23:01,Eminem,Without Me,290320
2021-12-17 23:05,Vete a la Versh,Horrible,221423
2021-12-17 23:07,Vete a la Versh,Perra,149693
2021-12-17 23:10,Vete a la Versh,Tiempo,206666
2021-12-17 23:14,Metalocalypse: Dethklok,Murmaider,204360
2021-12-17 23:18,Mägo de Oz,El Cervezo - El árbol de la birra,280160
2021-12-17 23:21,Destripando la Historia,Odín,182800
2021-12-17 23:27,Rod Stewart,Da Ya Think I'm Sexy?,331333
2021-12-17 23:31,Dschinghis Khan,Moskau,271960
2021-12-17 23:36,Megumi Hayashibara,TSUBASA WO KUDASAI,294521
2021-12-17 23:39,David Ferguson,The Housebuilding Song,191866
2021-12-17 23:42,Gustavo Santaolalla,Beyond Desolation,144626
2021-12-17 23:44,Rocco DeLuca,Crash of Worlds,106120
2021-12-17 23:47,Twisted Sister,We're Not Gonna Take It,219666
2021-12-17 23:50,Ilan Eshkeri,Jin Sakai,171840
2021-12-17 23:53,Destripando la Historia,Thor - 2019 Remaster,192336
2021-12-17 23:54,Nirvana,Smells Like Teen Spirit,31658
2021-12-17 23:58,Yoko Takahashi,残酷な天使のテーゼ,247746
2021-12-18 00:02,Daniel Lanois,That's The Way It Is,248066
2021-12-18 00:59,Josh Homme,Cruel World,167327
2021-12-18 13:57,Josh Homme,Cruel World,55294
2021-12-18 14:01,Daniel Lanois,That's The Way It Is,248066
2021-12-18 14:15,Queen,Bohemian Rhapsody - Remastered 2011,223863
2021-12-18 17:32,Daniel Lanois,That's The Way It Is,534
2021-12-18 17:32,Josh Homme,Cruel World,0
2021-12-18 17:32,Gustavo Santaolalla,Beyond Desolation,0
2021-12-18 17:32,Nirvana,Smells Like Teen Spirit,0
2021-12-18 17:32,Megumi Hayashibara,TSUBASA WO KUDASAI,23
2021-12-18 17:32,Dschinghis Khan,Moskau,0
2021-12-18 17:32,Twisted Sister,We're Not Gonna Take It,23
2021-12-18 17:32,Rocco DeLuca,Crash of Worlds,23
2021-12-18 17:32,Yoko Takahashi,残酷な天使のテーゼ,23
2021-12-18 17:32,David Ferguson,The Housebuilding Song,23
2021-12-18 17:32,Rod Stewart,Da Ya Think I'm Sexy?,23
2021-12-18 17:32,Ilan Eshkeri,Jin Sakai,0
2021-12-18 17:32,Vete a la Versh,Tiempo,23
2021-12-18 17:32,Destripando la Historia,Thor - 2019 Remaster,23
2021-12-18 17:32,Metallica,Fuel,120
2021-12-18 17:33,Vete a la Versh,Horrible,4810
2021-12-18 17:33,Destripando la Historia,Odín,21563
2021-12-18 17:33,Mägo de Oz,El Cervezo - El árbol de la birra,580
2021-12-18 17:33,Eminem,Without Me,0
2021-12-18 17:33,Metalocalypse: Dethklok,Murmaider,23
2021-12-18 17:33,Vete a la Versh,Perra,0
2021-12-18 17:37,Turisas,Rasputin,234227
2021-12-18 17:41,Eminem,Without Me,290320
2021-12-18 17:45,Vete a la Versh,Horrible,221423
2021-12-18 17:48,Vete a la Versh,Perra,207260
2021-12-18 17:52,Vete a la Versh,Tiempo,206666
